Rank,College Name,Location,Median SAT,Median ACT,Est. price 2019-20 without aid,Est. price 2019-20 with avg. grant,% of students who get any grants,Average student debt,Early career earnings
378,University of Miami,Coral Gables. FL,1330,30,69.2,45.1,0.67,19,55.1
379,Longwood University,Farmville. VA,1050,21,28.1,19.5,0.49,25,46
380,East Carolina University,Greenville. NC,1110,22,23,14.2,0.52,24.44,47.2
381,Cabrini University,Radnor. PA,1080,21,48.8,26.4,0.86,26,47.6
382,University of Dayton,Dayton. OH,1210,27,60.2,37.4,0.89,26.1,56.1
382,Drexel University,Philadelphia. PA,1260,27,71.9,43.7,0.8,26,60.7
384,University of Nebraska at Kearney,Kearney. NE,1090,22,23.6,17,0.7,20.98,42.9
385,Radford University,Radford. VA, NA,NA,24.3,14.5,0.5,23.25,47.8
386,Eastern Illinois University,Charleston. IL, NA,21,24.7,15.1,0.75,23.25,45
387,Illinois College,Jacksonville. IL, NA,NA,44.7,18.3,0.99,27,44.7
388,Sewanee-The University of the South,Sewanee. TN, NA,NA,63.7,36.3,0.84,19.12,51.1
389,Endicott College,Beverly. MA, NA,NA,52.6,37.5,0.79,27,49.9
390,Tulane University of Louisiana,New Orleans. LA,1410,32,72.9,36.2,0.68,27,54.6
391,University of Missouri-St Louis,Saint Louis. MO,1150,25,25.8,9.8,0.43,20.46,47.6
392,Valparaiso University,Valparaiso. IN,1170,26,55.3,24.7,0.95,27,52.6
393,University of Nebraska - Lincoln,Lincoln. NE,1240,26,26.2,17.9,0.64,21.79,50.6
394,Loyola University Chicago,Chicago. IL,1220,27,62.6,36.9,0.87,25,51.9
395,Dominican University,River Forest. IL,1110,23,47,19.5,0.88,25,47.9
396,Creighton University,Omaha. NE,1180,28,55.8,33.6,0.92,25.3,52.4
397,Misericordia University,Dallas. PA,1120,24,49.6,27.7,0.85,27,45.5
397,Whittier College,Whittier. CA,1120,24,64.1,28.6,0.94,25,49.3
399,Centre College,Danville. KY,1290,29,56.3,28,0.98,27,48.9
400,Keene State College,Keene. NH,1040,21,28.5,20.8,0.75,26,48.1
400,St Thomas University,Miami Gardens. FL,970,20,49.3,26.5,0.29,21.58,47.5
402,Baker University,Baldwin City. KS,1030,23,45.4,23.9,0.63,24.5,47.4
403,Grace College and Theological Seminary,Winona Lake. IN,1110,24,35.5,21.7,0.76,22.25,43.7
404,Florida Atlantic University,Boca Raton. FL,1140,24,24.4,10.8,0.58,16.8,48.3
405,Westminster College - Pennsylvania,New Wilmington. PA,1110,24,51.8,23.5,0.98,27,45.8
406,The University of Tennessee-Knoxville,Knoxville. TN,1230,27,32.3,22.4,0.74,20.5,50.2
407,California Lutheran University,Thousand Oaks. CA,1150,24,62.5,30.1,0.87,21.88,50.6
408,University of the Pacific,Stockton. CA,1200,26,67.7,34.9,0.88,24.25,57.7
409,Graceland University-Lamoni,Lamoni. IA,990,21,43,19.5,0.8,22.83,47.1
410,South Dakota State University,Brookings. SD,1120,23,23.8,19.4,0.54,25,49.8
411,Eastern Washington University,Cheney. WA,980,21,23.1,12.2,0.61,20.5,48.7
412,Susquehanna University,Selinsgrove. PA, NA,NA,62.4,28.7,1,27,48.9
413,Massachusetts College of Art and Design,Boston. MA, NA,NA,31,23.5,0.72,25,48.5
414,Washington College,Chestertown. MD, NA,NA,63.7,33.8,0.92,24.25,52.7
415,Depauw University,Greencastle. IN,1220,27,65.4,31.3,0.99,26.38,54.9
416,Coe College,Cedar Rapids. IA,1200,25,57.7,23.2,0.94,28.5,46
417,Mount Mercy University,Cedar Rapids. IA, NA,22,46.7,23.9,0.9,22,48
418,College of Staten Island CUNY,Staten Island. NY, NA,NA,33.1,6.7,0.57,14,51.1
419,Saint John Fisher College,Rochester. NY,1150,24,49.9,29.5,0.97,23.5,45.8
420,Bloomsburg University of Pennsylvania,Bloomsburg. PA,1060,22,25.3,17.6,0.54,26,48
420,University of Wisconsin-Oshkosh,Oshkosh. WI, NA,22,19.9,14,0.37,23,46.9
422,Salve Regina University,Newport. RI, NA,NA,59.3,36.3,0.9,27,51.8
423,Saint Norbert College,De Pere. WI,1170,25,50.3,27.7,0.97,27,48.3
424,Sacred Heart University,Fairfield. CT, NA,NA,61,42.9,0.89,25.38,53.7
425,Southwestern University,Georgetown. TX,1220,26,56.7,28.8,0.97,26.98,51.6
426,University of Detroit Mercy,Detroit. MI,1140,25,59.9,22.3,0.91,23.25,51.9
427,St John's University-New York,Queens. NY,1160,26,62.5,27.7,0.69,25.5,53.2
428,Worcester State University,Worcester. MA, NA,NA,26.9,16.3,0.58,19.5,48.4
429,Trine University,Angola. IN,1070,25,51.2,24.7,0.47,25,54.6
430,Central Connecticut State University,New Britain. CT,1070,22,26.3,16.9,0.52,22,52.2
431,University of St. Thomas - Texas,Houston. TX,1150,24,48.6,20.5,0.77,22.5,49.5
432,University of Oklahoma,Norman. OK,1270,26,29.6,21.4,0.68,20,53.5
432,Wentworth Institute of Technology,Boston. MA,1180,25,56.5,40.2,0.87,27,61.3
434,Slippery Rock University of Pennsylvania,Slippery Rock. PA,1080,22,25.5,18.7,0.6,25,44.8
435,Spelman College,Atlanta. GA,1140,24,53.9,38.6,0.79,27,49.7
436,Furman University,Greenville. SC,1290,29,66.5,35.2,0.95,26,49.6
437,University of Kansas,Lawrence. KS, NA,26,26.4,19.6,0.6,20.5,51.5
438,Elizabethtown College,Elizabethtown. PA,1180,25,61.1,30.3,0.98,27,48.6
439,Mills College,Oakland. CA, NA,NA,66.6,27.8,0.95,24.15,50.5
440,Dordt College,Sioux Center. IA,1190,25,45.7,27.4,1,23.25,50.2
441,Beloit College,Beloit. WI, NA,NA,62.1,28.8,0.96,27,46.5
442,Winston-Salem State University,Winston-Salem. NC,960,18,20.7,12,0.78,25,46.2
443,Luther College,Decorah. IA,1170,26,56.4,27.8,0.98,27,47.3
444,Saint Xavier University,Chicago. IL,1090,21,50,15.9,0.93,24.25,48.2
445,Mississippi State University,Mississippi State. MS, NA,25,25.5,17.1,0.8,23,50
446,Quinnipiac University,Hamden. CT,1170,25,66.6,41.3,0.86,26,54.6
447,University of Maine,Orono. ME,1150,25,25.3,18.7,0.76,26,50.8
448,Jefferson (Philadelphia University + Thomas Jefferson University),Philadelphia. PA,1120,24,60.5,30.4,0.86,27,47.8
449,Augustana University,Sioux Falls. SD,1180,26,47.5,20.2,0.95,26.86,46.6
450,Point Loma Nazarene University,San Diego. CA,1200,26,52.1,33.5,0.82,22.88,51
451,University of South Carolina-Columbia,Columbia. SC,1250,28,28.3,21.6,0.72,23,49
452,Seattle Pacific University,Seattle. WA,1170,24,59,33.2,0.95,26.16,51.5
453,Westminster College - Utah,Salt Lake City. UT,1160,25,49.9,25.2,0.9,25,50.7
454,Immaculata University,Immaculata. PA,1060,20,48,33.5,0.68,27,49.8
454,Westmont College,Santa Barbara. CA,1260,27,63.6,34.9,0.94,23.25,52.4
456,American University,Washington. DC,1270,28,67.1,34.9,0.55,23.25,53.7
457,Saint Francis University,Loretto. PA,1130,24,54.3,29.3,0.7,27,45.6
458,The College of Saint Rose,Albany. NY, NA,NA,49.4,23.9,0.95,23.25,43.1
458,University of Wisconsin-River Falls,River Falls. WI, NA,23,20.8,15,0.52,21.68,46.4
460,Ball State University,Muncie. IN,1160,22,25.4,14.4,0.66,24.51,44.5
461,University of Hawaii at Manoa,Honolulu. HI,1150,24,30.8,16.5,0.6,19,50.1
462,University of South Dakota,Vermillion. SD,1120,23,23.3,17.8,0.55,25,46.9
463,Concordia University-Nebraska,Seward. NE,1010,24,44.4,21.6,0.66,24.78,40.5
464,Moravian College,Bethlehem. PA,1110,24,60.4,30.1,0.94,27,51.1
465,University of North Georgia,Dahlonega. GA,1020,23,20.6,10.8,0.63,17.5,45.7
466,University of South Carolina-Upstate,Spartanburg. SC,1010,20,26,15.7,0.67,21.6,45.3
467,University of Minnesota-Morris,Morris. MN,1270,25,25,12.2,0.89,19.3,44.5
468,MidAmerica Nazarene University,Olathe. KS,1060,21,43.9,21.1,0.73,18.75,47.4
469,Notre Dame de Namur University,Belmont. CA,1010,19,56.8,30.1,0.8,25,54.8
469,University of Missouri - Columbia,Columbia. MO,1240,26,27.8,19,0.59,22,50.8
471,Milligan College,Milligan College. TN,1110,25,44.3,21.9,0.91,25.13,40.2
472,Bethel College-Indiana,Mishawaka. IN,1060,22,42.5,20.6,0.85,26,41.9
473,SUNY at Purchase College,Purchase. NY,1110,23,27.5,19.4,0.6,21.88,48.1
474,Rider University,Lawrenceville. NJ,1090,23,62.4,32.1,0.89,25.83,50.2
474,Ripon College,Ripon. WI,1150,23,54.7,21.5,0.99,27,44.5
476,Bard College,Annandale-On-Hudson. NY, NA,NA,73.7,31.4,0.67,25.14,51
477,Ohio Wesleyan University,Delaware. OH, NA,NA,63,29.9,0.98,27,48.8
478,Vanguard University of Southern California,Costa Mesa. CA,1030,21,48.9,23.1,0.9,25,47.2
479,Washington & Jefferson College,Washington. PA, NA,NA,62.8,30.6,0.99,27,48.3
479,Biola University,La Mirada. CA,1180,25,56.9,35.4,0.99,24.19,48.7
481,Calvin College,Grand Rapids. MI,1220,27,48.9,28.1,0.94,26.89,49
481,Aurora University,Aurora. IL,1040,21,38.7,19.1,0.89,22,45.6
483,SUNY College of Technology at Alfred,Alfred. NY,1040,22,26,16.3,0.78,15,50.4
484,Lycoming College,Williamsport. PA,1090,23,56.3,21.4,0.99,27,46.2
484,Central College,Pella. IA,1090,24,52.8,24.4,0.94,27,48.2
486,Christopher Newport University,Newport News. VA, NA,NA,31,24.3,0.53,25,49.6
486,University of North Carolina Wilmington,Wilmington. NC,1250,25,25.7,18,0.5,20.5,45.3
488,The Evergreen State College,Olympia. WA,1080,23,22.3,13.2,0.65,17.12,46.2
489,King's College,Wilkes-Barre. PA, NA,NA,54.3,28.4,0.87,27,46
490,SUNY Polytechnic Institute,Utica. NY,1150,24,24.9,15.4,0.7,15.09,50.5
491,Pacific University,Forest Grove. OR,1170,25,60,31.5,0.92,27,48.6
492,DeSales University,Center Valley. PA,1120,25,54.7,29.9,0.8,25.33,48.8
493,West Virginia University,Morgantown. WV,1120,24,23.5,12.3,0.67,23.69,52.9
494,Fisher College,Boston. MA, NA,NA,53.8,26.9,0.88,20,43.8
495,Texas State University,San Marcos. TX,1110,23,23.6,14.5,0.51,20.78,48.6
496,Carroll College,Helena. MT,1180,25,50.7,28.4,0.97,26.58,46.1
496,Buena Vista University,Storm Lake. IA,1070,22,47.6,21.4,0.85,24.75,41.2
498,University of North Florida,Jacksonville. FL,1190,24,22.2,14.4,0.54,15.95,47.5
498,Union University,Jackson. TN,1200,26,54.1,26.9,0.78,23.59,46.2
500,Old Dominion University,Norfolk. VA,1090,22,26.7,16.2,0.57,23.75,48.9
501,University of Arkansas,Fayetteville. AR,1200,26,26,17,0.56,21.5,51.4
